season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition
2021,1,Bahrain Grand Prix,Q,Sakhir,VER,88.997,90.232,1.075184,315.0,,1.0,1.0
2021,1,Bahrain Grand Prix,Q,Sakhir,HAM,89.385,90.291333,0.941042,314.0,,2.0,2.0
2021,1,Bahrain Grand Prix,Q,Sakhir,BOT,89.586,90.3494,0.590492,312.0,,3.0,3.0
2021,1,Bahrain Grand Prix,Q,Sakhir,LEC,89.678,90.6226,0.802953,316.0,,4.0,4.0
2021,1,Bahrain Grand Prix,Q,Sakhir,GAS,89.809,90.4654,0.557317,318.0,,5.0,5.0
2021,1,Bahrain Grand Prix,Q,Sakhir,RIC,89.927,90.80966599999999,0.658827,315.0,,6.0,6.0
2021,1,Bahrain Grand Prix,Q,Sakhir,NOR,89.974,90.848666,0.73752,316.0,,7.0,7.0
2021,1,Bahrain Grand Prix,Q,Sakhir,SAI,90.009,90.6548,0.644886,315.0,,8.0,8.0
2021,1,Bahrain Grand Prix,Q,Sakhir,ALO,90.249,90.891,0.583018,314.0,,9.0,9.0
2021,1,Bahrain Grand Prix,Q,Sakhir,STR,90.601,91.2672,0.661954,312.0,,10.0,10.0
2021,1,Bahrain Grand Prix,Q,Sakhir,PER,90.659,90.858,0.269735,310.0,,11.0,11.0
2021,1,Bahrain Grand Prix,Q,Sakhir,GIO,90.708,91.61425,0.886964,320.0,,12.0,12.0
2021,1,Bahrain Grand Prix,Q,Sakhir,TSU,90.607,91.045666,0.384922,322.0,,13.0,13.0
2021,1,Bahrain Grand Prix,Q,Sakhir,RAI,91.238,91.83975,0.538887,320.0,,14.0,14.0
2021,1,Bahrain Grand Prix,Q,Sakhir,RUS,91.316,92.445,1.064331,316.0,,15.0,15.0
2021,1,Bahrain Grand Prix,Q,Sakhir,OCO,91.724,92.0555,0.468811,318.0,,16.0,16.0
2021,1,Bahrain Grand Prix,Q,Sakhir,LAT,91.936,92.223,0.405879,319.0,,17.0,17.0
2021,1,Bahrain Grand Prix,Q,Sakhir,VET,92.056,92.0615,0.007778,318.0,,18.0,18.0
2021,1,Bahrain Grand Prix,Q,Sakhir,MSC,92.449,93.155,0.998434,315.0,,19.0,19.0
2021,1,Bahrain Grand Prix,Q,Sakhir,MAZ,93.273,93.273,,325.0,,20.0,20.0
2021,2,Emilia Romagna Grand Prix,R,Imola,GAS,78.782,79.61196,0.717092,309.0,5.0,7.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,PER,78.334,79.83573,0.847435,305.0,2.0,11.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,ALO,79.396,80.059916,0.526282,329.0,15.0,10.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,LEC,78.379,79.278357,0.753674,307.0,4.0,4.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,STR,78.994,79.821192,0.65697,304.0,10.0,8.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,TSU,78.353,79.711185,0.789534,308.0,20.0,12.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,RIC,79.341,80.015518,0.498074,295.0,6.0,6.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,OCO,79.417,79.999416,0.364312,324.0,9.0,9.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,VER,77.524,78.447392,0.819272,303.0,3.0,1.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,NOR,78.259,79.2635,0.756434,308.0,7.0,3.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,HAM,76.702,78.814148,0.88392,335.0,1.0,2.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,MSC,79.193,80.35338,0.625859,308.0,18.0,16.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,VET,79.074,80.40375,0.818889,306.0,0.0,15.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,SAI,78.49,79.262571,0.751636,311.0,11.0,5.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,RAI,79.422,80.35274,0.725747,300.0,16.0,13.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,MAZ,80.402,80.9665,0.472869,307.0,19.0,17.0,
2021,2,Emilia Romagna Grand Prix,R,Imola,GIO,79.47,80.189565,0.761343,304.0,17.0,14.0,
2021,2,Emilia Romagna Grand Prix,Q,Imola,HAM,74.411,75.078285,0.858766,322.0,,1.0,1.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,PER,74.446,75.012,0.493908,323.0,,2.0,2.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,VER,74.498,75.051142,0.575145,325.0,,3.0,3.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,LEC,74.74,75.069333,0.335967,320.0,,4.0,4.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,GAS,74.79,75.251571,0.288458,322.0,,5.0,5.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,RIC,74.826,75.493166,0.466456,324.0,,6.0,6.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,NOR,74.454,74.764,0.23844,326.0,,7.0,7.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,BOT,74.672,74.917833,0.142582,321.0,,8.0,8.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,OCO,75.117,75.55,0.393416,325.0,,9.0,9.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,STR,75.138,75.716,0.588345,325.0,,10.0,10.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,SAI,75.199,75.449,0.174849,321.0,,11.0,11.0
