timeKey,season,round,driverId,constructorId,circuit,session,circuitKey,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,driverPoints,constructorPoints,estimatedSalaryUSD,estimatedSalaryUSD_imputed,costCapUSD,raceGain,consistencyIndex,qualifyingPerformanceIndex,topSpeedIndex,driverROI,driverEfficiency,budgetEfficiency,pointsPerMillionUSD,speedEfficiency,isPodium,teamPodiums,costPerPodium,teammateDelta,avgTeammateDelta_season,paceAdvantage,speed_zscore,pointsRankInTeam,qualiToRaceDelta,avgFinishPosition_season,avgQualyPosition_season,avgRaceGain_season,avgConsistency_season,avgTopSpeed_season,driverPerformanceScore,driverPerformanceScore_scaled
2021_1,2021,1,latifi,williams,Sakhir,R,Bahrain Grand Prix_Sakhir,96.602,97.833133,0.5047307000000001,298.0,17.0,18.0,,17.0,7.0,23.0,1000000.0,1000000.0,145000000.0,-1.0,0.5047307000000001,,298.0,142857.14285714287,7.0,6304347.826086956,0.1586206896551724,2.055172413793104,0,0,,1.5660000000000025,0.6124923076923079,0.0433030940100307,-1.6126260302514863,2.0,-1.0,15.68421052631579,16.4,0.8333333333333334,0.6318524123751686,314.4884829264957,-4.521289949525823,-0.974933835045294
2021_1,2021,1,leclerc,ferrari,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.678,90.6226,0.802953,316.0,,,4.0,4.0,159.0,323.5,12000000.0,12000000.0,145000000.0,,0.802953,4.0,316.0,75471.69811320755,13.25,448222.5656877898,2.231034482758621,2.179310344827586,0,5,29000000.0,0.0,0.275063589743589,0.005772328800677,0.2258945454870707,2.0,,6.666666666666667,6.714285714285714,0.0555555555555555,0.7271041152766531,315.7179487179488,-0.3864304807884822,0.3317373083906978
2021_1,2021,1,leclerc,ferrari,Sakhir,R,Bahrain Grand Prix_Sakhir,94.988,96.111434,0.893461,297.0,4.0,6.0,,4.0,159.0,323.5,12000000.0,12000000.0,145000000.0,-2.0,0.893461,,297.0,75471.69811320755,13.25,448222.5656877898,2.231034482758621,2.0482758620689654,0,5,29000000.0,0.4789999999999992,0.275063589743589,0.0258718690485164,-1.7147660622369616,2.0,-2.0,6.666666666666667,6.714285714285714,0.0555555555555555,0.7271041152766531,315.7179487179488,-0.5804965415608855,0.2704098259335901
2021_1,2021,1,mazepin,haas,Sakhir,Q,Bahrain Grand Prix_Sakhir,93.273,93.273,0.52140109375,325.0,,,20.0,20.0,0.0,0.0,1000000.0,1000000.0,145000000.0,,0.52140109375,20.0,325.0,,0.0,,0.0,2.2413793103448274,0,0,,0.8239999999999981,0.6470219999999992,0.0460915991015138,1.1451548333563493,1.0,,17.875,19.57894736842105,0.5,0.5133097582499999,315.396,-6.2986575977525225,-1.5366058905949165
2021_1,2021,1,mick_schumacher,haas,Sakhir,Q,Bahrain Grand Prix_Sakhir,92.449,93.155,0.998434,315.0,,,19.0,19.0,0.0,0.0,1000000.0,1000000.0,145000000.0,,0.998434,19.0,315.0,,0.0,,0.0,2.1724137931034484,0,0,,0.0,0.028972972972973,0.0368501307488324,0.1237545135015952,1.0,,16.894736842105264,18.11111111111111,0.9473684210526316,0.5452443962162162,315.72972972972974,-5.853552497043392,-1.3959466988399918
2021_1,2021,1,mick_schumacher,haas,Sakhir,R,Bahrain Grand Prix_Sakhir,96.134,97.323741,0.643252,314.0,18.0,16.0,,18.0,0.0,0.0,1000000.0,1000000.0,145000000.0,2.0,0.643252,,314.0,,0.0,,0.0,2.1655172413793102,0,0,,0.0,0.028972972972973,0.0382486867721194,0.0216144815161199,1.0,2.0,16.894736842105264,18.11111111111111,0.9473684210526316,0.5452443962162162,315.72972972972974,-5.86376650024194,-1.399174461074576
2021_1,2021,1,norris,mclaren,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.974,90.848666,0.73752,316.0,,,7.0,7.0,160.0,275.0,5000000.0,5000000.0,145000000.0,,0.73752,7.0,316.0,31250.0,32.0,527272.7272727273,1.896551724137931,2.179310344827586,0,5,29000000.0,0.046999999999997,0.0439250000000001,0.0090920795681452,0.2258945454870707,1.0,,6.157894736842105,6.523809523809524,0.3157894736842105,0.77233301475,313.948,2.62994261923912,1.2849517325912423
2021_1,2021,1,norris,mclaren,Sakhir,R,Bahrain Grand Prix_Sakhir,94.396,95.83868,0.9431,295.0,7.0,4.0,,7.0,160.0,275.0,5000000.0,5000000.0,145000000.0,3.0,0.9431,,295.0,31250.0,32.0,527272.7272727273,1.896551724137931,2.034482758620689,0,5,29000000.0,0.0,0.0439250000000001,0.0194782598928682,-1.9190461262079124,1.0,3.0,6.157894736842105,6.523809523809524,0.3157894736842105,0.77233301475,313.948,2.415448552069622,1.2171687256649657
2021_1,2021,1,ocon,alpine,Sakhir,Q,Bahrain Grand Prix_Sakhir,91.724,92.0555,0.468811,318.0,,,16.0,16.0,74.0,155.0,5000000.0,5000000.0,145000000.0,,0.468811,16.0,318.0,67567.56756756757,14.8,935483.870967742,1.0689655172413792,2.193103448275862,0,2,72500000.0,1.4750000000000083,0.5992250000000012,0.0287189844433786,0.4301746094580214,2.0,,9.842105263157896,11.0,0.631578947368421,0.6285886898679245,315.305,-1.228788776462043,0.0655407699804865
2021_1,2021,1,ocon,alpine,Sakhir,R,Bahrain Grand Prix_Sakhir,95.25,96.788674,0.793501,331.0,16.0,13.0,,16.0,74.0,155.0,5000000.0,5000000.0,145000000.0,3.0,0.793501,,331.0,67567.56756756757,14.8,935483.870967742,1.0689655172413792,2.282758620689655,0,2,72500000.0,0.0,0.5992250000000012,0.0287014731005095,1.7579950252692016,2.0,3.0,9.842105263157896,11.0,0.631578947368421,0.6285886898679245,315.305,-1.096006734880925,0.1075016790300865
2021_1,2021,1,perez,red_bull,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.659,90.858,0.269735,310.0,,,11.0,11.0,190.0,585.5,8000000.0,8000000.0,145000000.0,,0.269735,11.0,310.0,42105.26315789474,23.75,247651.57984628525,4.037931034482758,2.1379310344827585,0,20,7250000.0,1.495679999999993,0.5864107500000006,0.0167746109050221,-0.3869456464257816,2.0,,6.684210526315789,6.571428571428571,-0.5,0.81865491,314.17475,0.9693835533799784,0.7601927583783271
2021_1,2021,1,perez,red_bull,Sakhir,R,Bahrain Grand Prix_Sakhir,93.97,95.777936,1.177139,326.0,,5.0,,,190.0,585.5,8000000.0,8000000.0,145000000.0,,1.177139,,326.0,42105.26315789474,23.75,247651.57984628525,4.037931034482758,2.2482758620689656,0,20,7250000.0,0.7420000000000044,0.5864107500000006,0.014877453304513,1.2472948653418243,2.0,,6.684210526315789,6.571428571428571,-0.5,0.81865491,314.17475,1.1328076045567388,0.811836954131681
2021_1,2021,1,raikkonen,alfa,Sakhir,Q,Bahrain Grand Prix_Sakhir,91.238,91.83975,0.538887,320.0,,,14.0,14.0,10.0,13.0,10000000.0,10000000.0,145000000.0,,0.538887,14.0,320.0,1000000.0,1.0,11153846.153846154,0.0896551724137931,2.206896551724138,0,0,,0.5300000000000011,0.247588235294117,0.0232683125751709,0.6344546734289722,1.0,,12.529411764705882,15.411764705882351,2.3125,0.5879016052941176,317.97602939607845,-3.9692417520100434,-0.8004791879324628
2021_1,2021,1,raikkonen,alfa,Sakhir,R,Bahrain Grand Prix_Sakhir,95.192,96.62134,0.812014,294.0,14.0,11.0,,14.0,10.0,13.0,10000000.0,10000000.0,145000000.0,3.0,0.812014,,294.0,1000000.0,1.0,11153846.153846154,0.0896551724137931,2.027586206896552,0,0,,0.0699999999999931,0.247588235294117,0.0280750722035032,-2.021186158193388,1.0,3.0,12.529411764705882,15.411764705882351,2.3125,0.5879016052941176,317.97602939607845,-4.23480583517228,-0.8844010060316627
2021_1,2021,1,ricciardo,mclaren,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.927,90.809666,0.658827,315.0,,,6.0,6.0,115.0,275.0,15000000.0,15000000.0,145000000.0,,0.658827,6.0,315.0,130434.78260869563,7.666666666666667,527272.7272727273,1.896551724137931,2.1724137931034484,0,5,29000000.0,0.0,0.6123626829268279,0.0085649569800674,0.1237545135015952,2.0,,9.0,9.761904761904765,1.15,0.6417765473170731,314.85707317073167,-1.8210879176672623,-0.121633716104555
2021_1,2021,1,ricciardo,mclaren,Sakhir,R,Bahrain Grand Prix_Sakhir,94.932,96.240361,0.873479,297.0,6.0,7.0,,6.0,115.0,275.0,15000000.0,15000000.0,145000000.0,-1.0,0.873479,,297.0,130434.78260869563,7.666666666666667,527272.7272727273,1.896551724137931,2.0482758620689654,0,5,29000000.0,0.5360000000000014,0.6123626829268279,0.0252670681824416,-1.7147660622369616,2.0,-1.0,9.0,9.761904761904765,1.15,0.6417765473170731,314.85707317073167,-2.0049399752411183,-0.1797334363270781
2021_1,2021,1,russell,williams,Sakhir,Q,Bahrain Grand Prix_Sakhir,91.316,92.445,1.064331,316.0,,,15.0,15.0,16.0,23.0,1000000.0,1000000.0,145000000.0,,1.064331,15.0,316.0,62500.0,16.0,6304347.826086956,0.1586206896551724,2.179310344827586,0,0,,0.0,0.1725999999999995,0.0241431117638957,0.2258945454870707,1.0,,14.263157894736842,12.523809523809524,-1.0,0.6881408875,314.681,-2.67742764172009,-0.39224857372134
2021_1,2021,1,russell,williams,Sakhir,R,Bahrain Grand Prix_Sakhir,95.036,96.887744,0.971736,318.0,15.0,14.0,,15.0,16.0,23.0,1000000.0,1000000.0,145000000.0,1.0,0.971736,,318.0,62500.0,16.0,6304347.826086956,0.1586206896551724,2.193103448275862,0,0,,0.0,0.1725999999999995,0.0263902697908662,0.4301746094580214,1.0,1.0,14.263157894736842,12.523809523809524,-1.0,0.6881408875,314.681,-2.6569996353229954,-0.3857930492521708
2021_1,2021,1,sainz,ferrari,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.009,90.6548,0.644886,315.0,,,8.0,8.0,164.5,323.5,10000000.0,10000000.0,145000000.0,,0.644886,8.0,315.0,60790.273556231004,16.45,448222.5656877898,2.231034482758621,2.1724137931034484,0,5,29000000.0,0.331000000000003,0.2467707317073162,0.0094846176656497,0.1237545135015952,1.0,,6.3,8.238095238095237,1.6,0.8045051314976066,314.8741463414634,0.3837106524861129,0.5751122532543754
2021_1,2021,1,sainz,ferrari,Sakhir,R,Bahrain Grand Prix_Sakhir,94.509,96.167804,1.09755,296.0,8.0,8.0,,8.0,164.5,323.5,10000000.0,10000000.0,145000000.0,0.0,1.09755,,296.0,60790.273556231004,16.45,448222.5656877898,2.231034482758621,2.041379310344828,0,5,29000000.0,0.0,0.2467707317073162,0.0206986616404833,-1.816906094222437,1.0,0.0,6.3,8.238095238095237,1.6,0.8045051314976066,314.8741463414634,0.1896445917137097,0.5137847707972678
2021_1,2021,1,stroll,aston_martin,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.601,91.2672,0.661954,312.0,,,10.0,10.0,34.0,77.0,10000000.0,10000000.0,145000000.0,,0.661954,10.0,312.0,294117.64705882355,3.4,1883116.8831168832,0.5310344827586206,2.1517241379310343,0,1,145000000.0,0.0,0.4142307692307696,0.0161241192005858,-0.1826655824548308,2.0,,11.157894736842104,13.1,1.6842105263157894,0.7089460547741148,314.7322403814235,-3.270476953196579,-0.5796601236905455
2021_1,2021,1,stroll,aston_martin,Sakhir,R,Bahrain Grand Prix_Sakhir,94.865,96.563086,0.78188,326.0,10.0,10.0,,10.0,34.0,77.0,10000000.0,10000000.0,145000000.0,0.0,0.78188,,326.0,294117.64705882355,3.4,1883116.8831168832,0.5310344827586206,2.2482758620689656,0,1,145000000.0,0.0,0.4142307692307696,0.0245434671462447,1.2472948653418243,2.0,0.0,11.157894736842104,13.1,1.6842105263157894,0.7089460547741148,314.7322403814235,-3.127480908416913,-0.5344714524063608
2021_1,2021,1,tsunoda,alphatauri,Sakhir,Q,Bahrain Grand Prix_Sakhir,90.607,91.045666,0.384922,322.0,,,13.0,13.0,32.0,142.0,500000000.0,500000000.0,145000000.0,,0.384922,13.0,322.0,1666666.6666666667,0.064,1021126.7605633804,0.9793103448275862,2.220689655172414,0,1,145000000.0,0.7980000000000018,0.7353858333333321,0.0161914114458723,0.838734737399923,2.0,,12.117647058823527,12.210526315789474,0.0625,0.6868629494444445,311.5980555555556,-4.21157118033758,-0.877058542949243
2021_1,2021,1,tsunoda,alphatauri,Sakhir,R,Bahrain Grand Prix_Sakhir,94.761,96.439276,1.001485,324.0,13.0,9.0,,13.0,32.0,142.0,500000000.0,500000000.0,145000000.0,4.0,1.001485,,324.0,1666666.6666666667,0.064,1021126.7605633804,0.9793103448275862,2.2344827586206897,0,1,145000000.0,0.6709999999999923,0.7353858333333321,0.0234202655378201,1.0430148013708738,2.0,4.0,12.117647058823527,12.210526315789474,0.0625,0.6868629494444445,311.5980555555556,-4.191143173940485,-0.870603018480074
2021_1,2021,1,max_verstappen,red_bull,Sakhir,Q,Bahrain Grand Prix_Sakhir,89.16332000000001,90.232,1.075184,315.0,,,1.0,1.0,395.5,585.5,25000000.0,25000000.0,145000000.0,,1.075184,1.0,315.0,63211.12515802781,15.82,247651.57984628525,4.037931034482758,2.1724137931034484,0,20,7250000.0,0.0,0.0305179487179484,0.0,0.1237545135015952,1.0,,3.631578947368421,2.05,-0.4736842105263157,0.8556051394871795,313.7769230769231,1.1238938847698623,0.8090200989243279
2021_1,2021,1,max_verstappen,red_bull,Sakhir,R,Bahrain Grand Prix_Sakhir,93.228,95.185333,1.06976,298.0,1.0,2.0,,1.0,395.5,585.5,25000000.0,25000000.0,145000000.0,-1.0,1.06976,,298.0,63211.12515802781,15.82,247651.57984628525,4.037931034482758,2.055172413793104,1,20,7250000.0,0.0,0.0305179487179484,0.0068638418290214,-1.6126260302514863,1.0,-1.0,3.631578947368421,2.05,-0.4736842105263157,0.8556051394871795,313.7769230769231,0.9502558303945544,0.7541481409363895
2021_1,2021,1,vettel,aston_martin,Sakhir,Q,Bahrain Grand Prix_Sakhir,92.056,92.0615,0.10648298,318.0,,,18.0,18.0,43.0,77.0,15000000.0,15000000.0,145000000.0,,0.10648298,18.0,318.0,348837.2093023256,2.8666666666666667,1883116.8831168832,0.5310344827586206,2.193103448275862,0,1,145000000.0,1.4549999999999983,0.2259249999999983,0.0324424886825656,0.4301746094580214,1.0,,12.5,11.85,-0.631578947368421,0.6767567495,313.15,-4.061631898214724,-0.8296757153830931
2021_1,2021,1,vettel,aston_martin,Sakhir,R,Bahrain Grand Prix_Sakhir,95.566,96.978058,0.80823,292.0,20.0,15.0,,20.0,43.0,77.0,15000000.0,15000000.0,145000000.0,5.0,0.80823,,292.0,348837.2093023256,2.8666666666666667,1883116.8831168832,0.5310344827586206,2.013793103448276,0,1,145000000.0,0.7010000000000076,0.2259249999999983,0.0321142779876459,-2.2254662221643384,1.0,5.0,12.5,11.85,-0.631578947368421,0.6767567495,313.15,-4.32719598137696,-0.913597533482293
2021_2,2021,2,alonso,alpine,Imola,Q,Emilia Romagna Grand Prix_Imola,75.593,75.8525,0.189096,327.0,,,15.0,15.0,81.0,155.0,20000000.0,20000000.0,145000000.0,,0.189096,15.0,327.0,246913.5802469136,4.05,935483.870967742,1.0689655172413792,2.2551724137931037,0,2,72500000.0,0.4759999999999991,0.1236097560975609,0.0155217255795458,0.7449790980779828,1.0,,9.45,10.857142857142858,0.55,0.6606089587804878,315.1463414634146,-2.737634414641679,-0.4112747228349559
2021_2,2021,2,alonso,alpine,Imola,R,Emilia Romagna Grand Prix_Imola,79.396,80.059916,0.526282,329.0,15.0,10.0,,15.0,81.0,155.0,20000000.0,20000000.0,145000000.0,5.0,0.526282,,329.0,246913.5802469136,4.05,935483.870967742,1.0689655172413792,2.268965517241379,0,2,72500000.0,0.0,0.1236097560975609,0.0269785596430383,0.9015871981636192,1.0,5.0,9.45,10.857142857142858,0.55,0.6606089587804878,315.1463414634146,-2.721973604633116,-0.4063256964712444
