constructorId,constructorName
alfa,Alfa Romeo
alphatauri,AlphaTauri
alpine,Alpine F1 Team
aston_martin,Aston Martin
ferrari,Ferrari
haas,Haas F1 Team
mclaren,McLaren
mercedes,Mercedes
rb,RB F1 Team
red_bull,Red Bull
sauber,Sauber
williams,Williams
