season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,qualyPosition_fromQ,raceGain
2021,3,Portuguese Grand Prix,R,Portimão,NOR,81.696,82.775571,0.700198,293.18,7.0,5.0,,7.0,7.0,2.0
2021,3,Portuguese Grand Prix,R,Portimão,OCO,81.886,82.956228,0.772456,334.2,6.0,7.0,,6.0,6.0,-1.0
2021,3,Portuguese Grand Prix,R,Portimão,PER,80.643,82.564333,0.716913,299.0,4.0,4.0,,4.0,4.0,0.0
2021,3,Portuguese Grand Prix,R,Portimão,RIC,81.987,83.093267,0.654617,323.0,16.0,9.0,,16.0,16.0,7.0
2021,3,Portuguese Grand Prix,R,Portimão,RUS,82.654,84.08634,0.720195,303.0,11.0,16.0,,11.0,11.0,-5.0
2021,3,Portuguese Grand Prix,R,Portimão,SAI,82.325,83.296771,0.599001,298.0,5.0,11.0,,5.0,5.0,-6.0
2021,3,Portuguese Grand Prix,R,Portimão,STR,81.97,83.330425,0.719846,320.0,17.0,14.0,,17.0,17.0,3.0
2021,3,Portuguese Grand Prix,R,Portimão,TSU,82.058,83.42966,0.766844,295.0,14.0,15.0,,14.0,14.0,-1.0
2021,3,Portuguese Grand Prix,R,Portimão,VER,79.85188000000001,82.17835,0.988499,299.0,3.0,2.0,,3.0,3.0,1.0
2021,3,Portuguese Grand Prix,R,Portimão,VET,82.416,83.411,0.570151,298.0,10.0,13.0,,10.0,10.0,-3.0
2021,4,Spanish Grand Prix,R,Barcelona,ALO,81.182,81.996333,1.263608,309.0,10.0,17.0,,10.0,10.0,-7.0
2021,4,Spanish Grand Prix,R,Barcelona,BOT,79.43,81.903972,0.817214,328.0,3.0,3.0,,3.0,3.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,GAS,81.375,82.447125,0.797141,305.0,12.0,10.0,,12.0,12.0,2.0
2021,4,Spanish Grand Prix,R,Barcelona,GIO,82.802,83.25055,0.208298,313.0,14.0,15.0,,14.0,14.0,-1.0
2021,4,Spanish Grand Prix,R,Barcelona,HAM,80.665,82.099163,0.990985,327.0,1.0,1.0,,1.0,1.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,LAT,82.905,83.125,0.203507,304.0,19.0,16.0,,19.0,19.0,3.0
2021,4,Spanish Grand Prix,R,Barcelona,LEC,80.459,82.43609,0.663435,309.0,4.0,4.0,,4.0,4.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,MSC,82.637,83.050555,0.417285,308.0,18.0,18.0,,18.0,18.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,NOR,81.279,82.905772,0.668936,329.0,9.0,8.0,,9.0,9.0,1.0
2021,4,Spanish Grand Prix,R,Barcelona,OCO,83.311,83.4665,0.1994252,305.0,5.0,9.0,,5.0,5.0,-4.0
2021,4,Spanish Grand Prix,R,Barcelona,PER,79.483,82.440138,0.852753,306.0,8.0,5.0,,8.0,8.0,3.0
2021,4,Spanish Grand Prix,R,Barcelona,RAI,82.868,83.22921,0.245304,311.0,17.0,12.0,,17.0,17.0,5.0
2021,4,Spanish Grand Prix,R,Barcelona,RIC,81.853,82.737885,0.511272,315.0,7.0,6.0,,7.0,7.0,1.0
2021,4,Spanish Grand Prix,R,Barcelona,RUS,83.208,83.411,0.287085,305.0,15.0,14.0,,15.0,15.0,1.0
2021,4,Spanish Grand Prix,R,Barcelona,SAI,81.568,82.547437,0.543631,327.0,6.0,7.0,,6.0,6.0,-1.0
2021,4,Spanish Grand Prix,R,Barcelona,STR,82.607,83.059642,0.281494,338.0,11.0,11.0,,11.0,11.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,VER,78.149,82.350421,1.031963,308.0,2.0,2.0,,2.0,2.0,0.0
2021,4,Spanish Grand Prix,R,Barcelona,VET,82.82,83.270833,0.221588,309.0,13.0,13.0,,13.0,13.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,ALO,75.026,76.746916,0.880619,281.0,17.0,13.0,,17.0,17.0,4.0
2021,5,Monaco Grand Prix,R,Monte Carlo,BOT,75.706,76.570785,0.500919,282.0,3.0,19.0,,3.0,3.0,-16.0
2021,5,Monaco Grand Prix,R,Monte Carlo,GAS,75.412,76.288208,0.546256,283.0,6.0,6.0,,6.0,6.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,GIO,75.331,76.797423,0.602981,287.0,10.0,10.0,,10.0,10.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,HAM,73.11204000000001,76.231507,0.887446,280.0,7.0,7.0,,7.0,7.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,LAT,75.573,76.49179,0.690185,283.0,18.0,15.0,,18.0,18.0,3.0
